"state","city","population","violent.crime","murder","rape","robbery","assault","property.crime","burglary","larceny","gta","arson"
"87","alabama","Henagar",2343,3,0,0,0,3,46,14,25,7,NA
"88","alabama","Hokes Bluff",4361,3,0,0,0,3,35,11,17,7,NA
"89","alabama","Hoover",84139,74,2,9,34,29,2596,344,2144,108,1
"90","alabama","Hueytown",15956,26,1,3,2,20,646,116,502,28,NA
"91","alabama","Huntsville",184738,1507,24,87,391,1005,9216,1884,6629,703,NA
"92","alabama","Ider",718,5,0,2,0,3,38,12,22,4,NA
"93","alabama","Irondale",12452,46,0,5,12,29,463,116,312,35,NA
"94","alabama","Jackson",5038,34,0,5,4,25,208,45,158,5,NA
"95","alabama","Jacksonville",12385,35,0,3,10,22,589,137,439,13,NA
"96","alabama","Jasper",14185,113,1,7,26,79,981,199,743,39,NA
"97","alabama","Jemison",2601,13,2,1,1,9,131,31,98,2,NA
"98","alabama","Kinsey",2228,2,0,0,1,1,25,10,14,1,NA
"99","alabama","Lafayette",2982,19,0,4,1,14,70,15,48,7,NA
"100","alabama","Lake View",2064,6,0,0,0,6,16,3,12,1,NA
"101","alabama","Lanett",6424,75,1,4,13,57,473,138,300,35,NA
"102","alabama","Leeds",11914,57,2,4,17,34,540,72,440,28,NA
"103","alabama","Leesburg",1020,10,0,1,0,9,61,16,41,4,NA
"104","alabama","Leighton",724,8,0,4,1,3,27,15,12,0,NA
"105","alabama","Level Plains",2092,11,0,3,1,7,40,7,31,2,NA
"106","alabama","Lincoln",6365,31,2,5,5,19,374,97,244,33,NA
"107","alabama","Linden",2036,16,0,2,1,13,47,28,17,2,NA
"108","alabama","Livingston",3461,18,0,1,2,15,98,35,57,6,NA
"109","alabama","Loxley",1694,17,0,2,2,13,170,40,108,22,NA
"110","alabama","Luverne",2863,11,0,1,0,10,68,13,47,8,NA
"111","alabama","Madison",45540,133,2,17,27,87,1200,214,947,39,NA
"112","alabama","Maplesville",706,4,0,1,0,3,36,12,22,2,NA
"113","alabama","Margaret",4484,4,0,1,0,3,28,14,12,2,NA
"114","alabama","McIntosh",228,10,0,0,0,10,22,7,15,0,NA
"115","alabama","Midfield",5310,47,0,2,20,25,281,103,150,28,NA
"116","alabama","Midland City",2476,16,0,2,1,13,81,27,51,3,NA
"117","alabama","Millbrook",15042,54,1,11,17,25,726,171,517,38,NA
"118","alabama","Mobile4",250557,1541,29,88,459,965,13011,3207,9123,681,NA
"119","alabama","Monroeville",6327,78,3,6,6,63,468,85,357,26,NA
"120","alabama","Montevallo",6503,15,0,4,3,8,219,54,156,9,NA
"121","alabama","Moody",12278,21,0,0,2,19,236,53,165,18,NA
"122","alabama","Morris",1897,5,0,2,1,2,32,10,20,2,NA
"123","alabama","Moulton",3397,5,0,3,1,1,82,33,46,3,NA
"124","alabama","Moundville",2445,3,0,0,0,3,67,23,38,6,NA
"125","alabama","Mountain Brook",20354,12,1,1,9,1,294,71,213,10,NA
"126","alabama","Mount Vernon",1561,28,0,3,2,23,98,35,53,10,NA
"127","alabama","Muscle Shoals",13431,58,0,5,18,35,693,109,539,45,NA
"128","alabama","Napier Field",353,4,0,1,0,3,26,6,17,3,NA
"129","alabama","New Brockton",1166,5,0,0,0,5,39,18,20,1,NA
"130","alabama","New Hope",2799,17,0,1,0,16,52,15,30,7,NA
"131","alabama","Newton",1509,3,0,0,0,3,36,9,26,1,NA
"132","alabama","Northport",24308,114,0,20,32,62,728,162,525,41,NA
"133","alabama","Notasulga",906,7,0,0,0,7,36,19,13,4,NA
